code,name,代码,ipoDate,outDate,type,status
sh.000001,上证综合指数,000001,1991-07-15,,2,1
sh.000002,上证A股指数,000002,1992-02-21,,2,1
sh.000003,上证B股指数,000003,1992-08-17,,2,1
sh.000004,上证工业类指数,000004,1993-05-03,,2,1
sh.000005,上证商业类指数,000005,1993-05-03,,2,1
sh.000006,上证房地产指数,000006,1993-05-03,,2,1
sh.000007,上证公用事业指数,000007,1993-05-03,,2,1
sh.000008,上证综合业类指数,000008,1993-05-03,,2,1
sh.000009,上证380,000009,2010-11-29,,2,1
sh.000010,上证180指数,000010,2002-07-01,,2,1
sh.000011,上证基金指数,000011,2000-06-09,,2,1
sh.000012,上证国债指数,000012,2003-01-02,,2,1
sh.000013,上证企业债指数,000013,2003-06-09,,2,1
sh.000015,上证红利指数,000015,2005-01-04,,2,1
sh.000016,上证50指数,000016,2004-01-02,,2,1
sh.000017,新上证综指,000017,2006-01-04,,2,1
sh.000018,上证180金融股指数,000018,2007-12-10,,2,1
sh.000019,上证公司治理指数,000019,2008-01-02,,2,1
sh.000020,上证中型企业综合指数,000020,2008-05-12,,2,1
sh.000021,上证180公司治理指数,000021,2008-09-10,,2,1
sh.000022,沪公司债,000022,2008-11-19,,2,1
sh.000025,上证180基建指数,000025,2008-12-15,,2,1
sh.000026,上证180资源指数,000026,2008-12-15,,2,1
sh.000027,上证180交通运输指数,000027,2008-12-15,,2,1
sh.000028,上证180成长指数,000028,2009-01-09,,2,1
sh.000029,上证180价值指数,000029,2009-01-09,,2,1
sh.000030,上证180相对成长指数,000030,2009-01-09,,2,1
sh.000031,上证180相对价值指数,000031,2009-01-09,,2,1
sh.000032,上证能源行业指数,000032,2009-01-09,,2,1
sh.000033,上证原材料行业指数,000033,2009-01-09,,2,1
sh.000034,上证工业行业指数,000034,2009-01-09,,2,1
sh.000035,上证可选消费行业指数,000035,2009-01-09,,2,1
sh.000036,上证主要消费行业指数,000036,2009-01-09,,2,1
sh.000037,上证医药卫生行业指数,000037,2009-01-09,,2,1
sh.000038,上证金融地产行业指数,000038,2009-01-09,,2,1
sh.000039,上证信息技术行业指数,000039,2009-01-09,,2,1
sh.000040,上证电信业务行业指数,000040,2009-01-09,,2,1
sh.000041,上证公用事业行业指数,000041,2009-01-09,,2,1
sh.000042,上证中央企业50指数,000042,2009-03-30,,2,1
sh.000043,上证超级大盘指数,000043,2009-04-23,,2,1
sh.000044,上证中盘,000044,2009-07-03,,2,1
sh.000045,上证小盘,000045,2009-07-03,,2,1
sh.000046,上证中小,000046,2009-07-03,,2,1
sh.000047,上证全指,000047,2009-07-03,,2,1
sh.000048,责任指数,000048,2009-08-05,,2,1
sh.000049,上证民企,000049,2009-08-25,,2,1
sh.000050,50等权,000050,2011-01-04,,2,1
sh.000051,180等权,000051,2011-05-24,,2,1
sh.000052,50基本,000052,2012-01-09,,2,1
sh.000053,180基本,000053,2012-01-09,,2,1
sh.000054,上证海外,000054,2010-01-04,,2,1
sh.000056,上证国企,000056,2010-01-04,,2,1
sh.000057,全指成长,000057,2010-01-04,,2,1
sh.000058,全指价值,000058,2010-01-04,,2,1
sh.000059,全R成长,000059,2010-01-04,,2,1
sh.000060,全R价值,000060,2010-01-04,,2,1
sh.000061,沪企债30,000061,2010-01-04,,2,1
sh.000062,上证沪企,000062,2010-01-04,,2,1
sh.000063,上证周期,000063,2010-02-03,,2,1
sh.000064,非周期,000064,2010-02-03,,2,1
sh.000065,上证龙头,000065,2010-02-09,,2,1
sh.000066,上证商品,000066,2010-04-30,,2,1
sh.000067,上证新兴,000067,2010-04-30,,2,1
sh.000068,上证资源,000068,2010-05-28,,2,1
sh.000069,消费80,000069,2010-05-28,,2,1
sh.000070,能源等权,000070,2010-08-18,,2,1
sh.000071,材料等权,000071,2010-08-18,,2,1
sh.000072,工业等权,000072,2010-08-18,,2,1
sh.000073,可选等权,000073,2010-08-18,,2,1
sh.000074,消费等权,000074,2010-08-18,,2,1
sh.000075,医药等权,000075,2010-08-18,,2,1
sh.000076,金融等权,000076,2010-08-18,,2,1
sh.000077,信息等权,000077,2010-08-18,,2,1
sh.000078,电信等权,000078,2010-08-18,,2,1
sh.000079,公用等权,000079,2010-08-18,,2,1
sh.000090,上证流通,000090,2010-12-02,,2,1
sh.000091,沪财中小,000091,2011-04-06,,2,1
sh.000092,资源50,000092,2011-05-10,,2,1
sh.000093,180分层,000093,2011-05-24,,2,1
sh.000094,上证上游,000094,2011-05-10,,2,1
sh.000095,上证中游,000095,2011-05-10,,2,1
sh.000096,上证下游,000096,2011-05-10,,2,1
sh.000097,高端装备,000097,2011-05-24,,2,1
sh.000098,上证F200,000098,2011-07-01,,2,1
sh.000099,上证F300,000099,2011-07-01,,2,1
sh.000100,上证F500,000100,2011-07-01,,2,1
sh.000101,上证5年期信用债指数,000101,2013-04-01,,2,1
sh.000102,沪投资品,000102,2011-06-13,,2,1
sh.000103,沪消费品,000103,2011-06-13,,2,1
sh.000104,380能源,000104,2011-06-13,,2,1
sh.000105,380材料,000105,2011-06-13,,2,1
sh.000106,380工业,000106,2011-06-13,,2,1
sh.000107,380可选,000107,2011-06-13,,2,1
sh.000108,380消费,000108,2011-06-13,,2,1
sh.000109,380医药,000109,2011-06-13,,2,1
sh.000110,380金融,000110,2011-06-13,,2,1
sh.000111,380信息,000111,2011-06-13,,2,1
sh.000112,380电信,000112,2011-06-13,,2,1
sh.000113,380公用,000113,2011-06-13,,2,1
sh.000114,持续产业,000114,2011-08-22,,2,1
sh.000115,380等权,000115,2011-08-12,,2,1
sh.000116,上证信用债100指数,000116,2013-02-26,,2,1
sh.000117,380成长,000117,2011-10-18,,2,1
sh.000118,380价值,000118,2011-10-18,,2,1
sh.000119,380R成长,000119,2011-10-18,,2,1
sh.000120,380R价值,000120,2011-10-18,,2,1
sh.000121,医药主题,000121,2011-10-18,,2,1
sh.000122,上证农业主题指数,000122,2011-10-18,,2,1
sh.000123,上证180动态指数,000123,2013-02-08,,2,1
sh.000125,上证180稳定指数,000125,2013-02-08,,2,1
sh.000126,消费50,000126,2011-12-09,,2,1
sh.000128,380基本,000128,2012-01-09,,2,1
sh.000129,180波动,000129,2012-01-09,,2,1
sh.000130,380波动,000130,2012-01-09,,2,1
sh.000131,上证高新,000131,2012-02-10,,2,1
sh.000132,上证100,000132,2012-04-20,,2,1
sh.000133,上证150,000133,2012-04-20,,2,1
sh.000134,上证银行股指数,000134,2012-05-29,,2,1
sh.000135,上证180高贝塔指数,000135,2012-08-06,,2,1
sh.000136,上证180低贝塔指数,000136,2012-08-06,,2,1
sh.000137,上证380高贝塔指数,000137,2012-08-06,,2,1
sh.000138,上证380低贝塔指数,000138,2012-08-06,,2,1
sh.000139,上证可转换债券指数,000139,2012-09-12,,2,1
sh.000141,上证380动态指数,000141,2013-02-08,,2,1
sh.000142,上证380稳定指数,000142,2013-02-08,,2,1
sh.000145,上证优势资源产业指数,000145,2012-05-29,,2,1
sh.000146,上证优势制造产业指数,000146,2012-05-29,,2,1
sh.000147,上证优势消费产业指数,000147,2012-05-29,,2,1
sh.000148,上证消费服务领先指数,000148,2012-05-29,,2,1
sh.000149,上证180红利指数,000149,2012-07-20,,2,1
sh.000150,上证380红利指数,000150,2012-07-20,,2,1
sh.000151,上证国有企业红利指数,000151,2012-07-20,,2,1
sh.000152,上证中央企业红利指数,000152,2012-07-20,,2,1
sh.000153,上证民营企业红利指数,000153,2012-07-20,,2,1
sh.000155,上证市值百强指数,000155,2012-07-20,,2,1
sh.000158,上证环保产业指数,000158,2012-09-25,,2,1
sh.000159,上证沪股通指数,000159,2014-11-17,,2,1
sh.000160,上证一带一路主题指数,000160,2015-06-24,,2,1
sh.000161,上证中国制造主题指数,000161,2015-10-29,,2,1
sh.000162,上证互联网+主题指数,000162,2015-10-29,,2,1
sh.000300,沪深300指数,000300,2005-04-08,,2,1
sh.000802,500沪市,000802,2011-11-08,,2,1
sh.000805,A股资源,000805,2012-01-06,,2,1
sh.000806,消费服务,000806,2012-02-10,,2,1
sh.000807,食品饮料,000807,2012-02-17,,2,1
sh.000808,医药生物,000808,2012-02-17,,2,1
sh.000814,细分医药,000814,2012-04-11,,2,1
sh.000816,细分地产,000816,2012-04-11,,2,1
sh.000817,中证兴证海西主题指数,000817,2011-09-27,2018-07-11,2,0
sh.000819,有色金属,000819,2012-05-09,,2,1
sh.000821,沪深300红利指数,000821,2012-07-20,,2,1
sh.000823,中证800有色,000823,2013-08-02,,2,1
sh.000827,中证环保产业指数,000827,2012-09-25,,2,1
sh.000828,沪深300高贝塔指数,000828,2012-08-06,,2,1
sh.000832,中证可转换债券指数,000832,2012-09-12,,2,1
sh.000833,中证1-7年中高收益企债指数,000833,2012-09-10,,2,1
sh.000841,中证800制药与生物科技指数,000841,2012-12-21,,2,1
sh.000842,中证800等权重指数,000842,2012-12-21,,2,1
sh.000846,中证财通中国可持续发展100(ECPIESG)指数,000846,2012-10-16,,2,1
sh.000847,中证腾讯济安价值100A股指数,000847,2013-11-18,,2,1
sh.000849,沪深300非银行金融指数,000849,2012-12-21,,2,1
sh.000850,沪深300有色金属指数,000850,2012-12-21,2018-12-25,2,0
sh.000851,百发100指数,000851,2014-07-30,,2,1
sh.000852,中证1000指数,000852,2014-10-17,,2,1
sh.000853,中证申万一带一路主题投资指数,000853,2015-04-23,,2,1
sh.000854,中证500原材料指数,000854,2013-11-06,,2,1
sh.000855,央视财经500指数,000855,2014-11-03,,2,1
sh.000856,中证500工业指数,000856,2013-11-06,,2,1
sh.000857,中证500医药卫生指数,000857,2013-11-06,,2,1
sh.000858,中证500信息技术指数,000858,2013-11-06,,2,1
sh.000901,中证南方小康产业指数,000901,2010-04-02,,2,1
sh.000903,中证A100指数,000903,2006-05-29,,2,1
sh.000904,中证200指数,000904,2007-01-15,,2,1
sh.000905,中证500指数,000905,2007-01-15,,2,1
sh.000906,中证800指数,000906,2007-01-15,,2,1
sh.000908,沪深300能源指数,000908,2007-07-02,,2,1
sh.000909,沪深300原材料指数,000909,2007-07-02,,2,1
sh.000910,沪深300工业指数,000910,2007-07-02,,2,1
sh.000911,沪深300可选消费指数,000911,2007-07-02,,2,1
sh.000912,沪深300主要消费指数,000912,2007-07-02,,2,1
sh.000913,沪深300医药卫生指数,000913,2007-07-02,,2,1
sh.000914,沪深300金融地产指数,000914,2007-07-02,,2,1
sh.000917,沪深300公用事业指数,000917,2007-07-02,,2,1
sh.000918,沪深300成长指数,000918,2008-01-21,,2,1
sh.000919,沪深300价值指数,000919,2008-01-21,,2,1
sh.000922,中证红利指数,000922,2008-05-26,,2,1
sh.000925,中证锐联基本面50指数,000925,2009-02-26,,2,1
sh.000928,中证能源指数,000928,2009-07-03,,2,1
sh.000931,中证可选消费指数,000931,2009-07-03,,2,1
sh.000932,中证主要消费指数,000932,2009-07-03,,2,1
sh.000933,中证医药卫生指数,000933,2009-07-03,,2,1
sh.000934,中证金融地产指数,000934,2009-07-03,,2,1
sh.000935,中证信息技术指数,000935,2009-07-03,,2,1
sh.000939,中证民企成长指数,000939,2009-08-25,,2,1
sh.000940,中证财富大盘指数,000940,2009-09-25,,2,1
sh.000944,中证内地资源主题指数,000944,2009-10-28,,2,1
sh.000950,沪深300基建主题指数,000950,2009-10-28,,2,1
sh.000951,沪深300银行指数,000951,2009-10-28,,2,1
sh.000952,沪深300房地产指数,000952,2009-10-28,,2,1
sh.000957,沪深300运输指数,000957,2010-03-17,,2,1
sh.000958,中证创业成长指数,000958,2010-03-24,,2,1
sh.000959,银河99,000959,2010-02-09,,2,1
sh.000961,中证上游资源产业指数,000961,2010-04-16,,2,1
sh.000963,中证下游消费与服务产业指数,000963,2010-04-16,,2,1
sh.000964,中证新兴产业指数,000964,2010-04-30,,2,1
sh.000966,中证锐联基本面400指数,000966,2010-06-02,,2,1
sh.000969,沪深300非周期行业指数,000969,2010-05-28,,2,1
sh.000971,等权90,000971,2010-12-02,,2,1
sh.000973,技术领先,000973,2011-01-04,2018-02-05,2,0
sh.000974,中证800金融指数,000974,2013-08-02,,2,1
sh.000975,中证钱江30指数,000975,2014-01-02,,2,1
sh.000976,新华金牛50指数,000976,2014-02-18,2017-04-28,2,0
sh.000977,中证内地低碳经济主题指数,000977,2011-01-21,,2,1
sh.000978,中证医药100指数,000978,2011-03-18,,2,1
sh.000979,中证大宗商品股票指数,000979,2011-08-22,,2,1
sh.000982,中证500等权重指数,000982,2011-06-13,,2,1
sh.000983,智能资产,000983,2011-06-17,2022-08-30,2,0
sh.000984,沪深300等权重指数,000984,2011-08-02,,2,1
sh.000986,中证全指能源指数,000986,2011-08-02,,2,1
sh.000987,中证全指原材料指数,000987,2011-08-02,,2,1
sh.000989,中证全指可选消费指数,000989,2011-08-02,,2,1
sh.000990,中证全指主要消费指数,000990,2011-08-02,,2,1
sh.000991,中证全指医药卫生指数,000991,2011-08-02,,2,1
sh.000992,中证全指金融地产指数,000992,2011-08-02,,2,1
sh.000993,中证全指信息技术指数,000993,2011-08-02,,2,1
sh.000996,领先行业,000996,2011-08-02,2018-02-05,2,0
sh.000997,大消费,000997,2011-11-11,2018-02-05,2,0
sh.000998,中证TMT产业主题指数,000998,2011-11-08,,2,1
sh.000999,两岸三地,000999,2010-01-18,,2,1
sh.100001,南化转债,100001,1998-09-02,2001-05-28,4,0
sh.100009,机场转债,100009,2000-03-16,2004-05-14,4,0
sh.100016,民生转债,100016,2003-03-18,2008-02-26,4,0
sh.100087,水运转债,100087,2002-08-28,2007-04-11,4,0
sh.100096,云化转债,100096,2003-09-25,2006-09-09,4,0
sh.100117,西钢转债,100117,2003-08-26,2007-06-14,4,0
sh.100177,雅戈转债,100177,2003-04-21,2006-04-10,4,0
sh.100196,复星转债,100196,2003-11-17,2006-07-24,4,0
sh.100220,阳光转债,100220,2002-05-16,2005-04-25,4,0
sh.100236,桂冠转债,100236,2003-07-15,2008-07-04,4,0
sh.100567,山鹰转债,100567,2003-07-01,2007-02-13,4,0
sh.100726,华电转债,100726,2003-06-18,2007-06-05,4,0
sh.100795,国电转债,100795,2003-08-01,2007-04-30,4,0
sh.110001,邯钢转债,110001,2003-12-11,2007-03-16,4,0
sh.110002,南山转债,110002,2008-05-13,2009-09-24,4,0
sh.110003,新钢转债,110003,2008-09-05,2013-08-27,4,0
sh.110004,厦工转债,110004,2009-09-11,2010-09-30,4,0
sh.110005,西洋转债,110005,2009-09-21,2010-05-19,4,0
sh.110006,龙盛转债,110006,2009-09-25,2010-05-12,4,0
sh.110007,博汇转债,110007,2009-10-16,2014-09-29,4,0
sh.110008,王府转债,110008,2009-10-30,2010-11-05,4,0
sh.110009,双良转债,110009,2010-05-14,2015-05-07,4,0
sh.110010,包钢转债,110010,2004-11-25,2009-11-16,4,0
sh.110011,歌华转债,110011,2010-12-10,2015-05-06,4,0
sh.110012,海运转债,110012,2011-01-20,2015-05-15,4,0
sh.110013,国投转债,110013,2011-02-15,2013-07-12,4,0
sh.110015,石化转债,110015,2011-03-07,2015-02-17,4,0
sh.110016,川投转债,110016,2011-03-31,2014-09-10,4,0
sh.110017,中海转债,110017,2011-08-12,2015-02-13,4,0
sh.110018,国电转债,110018,2011-09-02,2015-03-05,4,0
sh.110019,恒丰转债,110019,2012-04-12,2015-05-05,4,0
sh.110020,南山转债,110020,2012-10-31,2015-03-13,4,0
sh.110021,上电转债,110021,2006-12-19,2007-08-27,4,0
sh.110022,同仁转债,110022,2012-12-18,2015-03-10,4,0
sh.110023,民生转债,110023,2013-03-29,2015-07-01,4,0
sh.110024,隧道转债,110024,2013-09-30,2014-12-18,4,0
sh.110025,国金转债,110025,2014-06-03,2015-01-09,4,0
sh.110026,中海转债,110026,2007-07-12,2008-04-09,4,0
sh.110027,东方转债,110027,2014-07-25,2015-02-27,4,0
sh.110028,冠城转债,110028,2014-08-01,2015-04-29,4,0
sh.110029,浙能转债,110029,2014-10-28,2015-06-05,4,0
sh.110030,格力转债,110030,2015-01-13,2019-12-25,4,0
sh.110031,航信转债,110031,2015-06-30,2021-06-15,4,0
sh.110032,三一转债,110032,2016-01-18,2019-03-26,4,0
sh.110033,国贸转债,110033,2016-01-19,2021-11-05,4,0
sh.110034,九州转债,110034,2016-01-29,2022-01-17,4,0
sh.110035,白云转债,110035,2016-03-15,2017-06-13,4,0
sh.110036,招行转债,110036,2004-11-29,2009-11-17,4,0
sh.110037,歌华转债,110037,2004-05-28,2009-05-18,4,0
sh.110038,济川转债,110038,2017-11-29,2022-11-14,4,0
sh.110039,宝信转债,110039,2017-12-05,2018-07-13,4,0
sh.110040,生益转债,110040,2017-12-11,2019-08-01,4,0
sh.110041,蒙电转债,110041,2018-01-09,2021-11-05,4,0
sh.110042,航电转债,110042,2018-01-15,2020-09-08,4,0
sh.110043,无锡转债,110043,2018-03-14,2024-01-31,4,0
sh.110044,广电转债,110044,2018-07-24,2024-06-27,4,0
sh.110045,海澜转债,110045,2018-07-31,2024-04-03,4,0
sh.110046,圆通转债,110046,2018-12-18,2020-03-23,4,0
sh.110047,山鹰转债,110047,2018-12-10,2024-11-21,4,0
sh.110048,福能转债,110048,2018-12-28,2024-12-09,4,0
sh.110049,海尔转债,110049,2019-01-18,2019-12-17,4,0
sh.110050,佳都转债,110050,2019-01-21,2020-04-09,4,0
sh.110051,中天转债,110051,2019-03-22,2021-12-17,4,0
sh.110052,贵广转债,110052,2019-03-29,2025-03-05,4,0
sh.110053,苏银转债,110053,2019-04-03,2023-10-20,4,0
sh.110054,通威转债,110054,2019-04-10,2020-03-17,4,0
sh.110055,伊力转债,110055,2019-04-04,2025-03-17,4,0
sh.110056,亨通转债,110056,2019-04-16,2022-12-06,4,0
sh.110057,现代转债,110057,2019-04-30,2023-06-16,4,0
sh.110058,永鼎转债,110058,2019-05-08,2024-12-20,4,0
sh.110059,浦发转债,110059,2019-11-15,2025-10-28,4,0
sh.110060,天路转债,110060,2019-11-28,2025-10-28,4,0
sh.110061,川投转债,110061,2019-12-02,2024-02-01,4,0
sh.110062,烽火转债,110062,2019-12-25,2025-12-02,4,0
sh.110063,鹰19转债,110063,2020-01-03,2025-12-15,4,0
sh.110064,建工转债,110064,2020-01-16,2025-12-22,4,0
sh.110065,淮矿转债,110065,2020-01-13,2021-07-02,4,0
sh.110066,盛屯转债,110066,2020-03-31,2022-03-18,4,0
sh.110067,华安转债,110067,2020-04-09,2026-03-12,4,0
sh.110068,龙净转债,110068,2020-04-15,2024-12-18,4,0
sh.110069,瀚蓝转债,110069,2020-05-07,2021-04-28,4,0
sh.110070,凌钢转债,110070,2020-05-13,2026-04-13,4,0
sh.110071,湖盐转债,110071,2020-07-31,2022-07-07,4,0
sh.110072,广汇转债,110072,2020-09-15,2024-08-28,4,0
sh.110073,国投转债,110073,2020-08-20,2026-07-24,4,0
sh.110074,精达转债,110074,2020-09-21,2026-07-31,4,0
sh.110075,南航转债,110075,2020-11-03,,4,1
sh.110076,华海转债,110076,2020-11-25,,4,1
sh.110077,洪城转债,110077,2020-12-17,,4,1
sh.110078,澄星转债,110078,2007-05-25,2012-05-17,4,0
sh.110079,杭银转债,110079,2021-04-23,2025-07-07,4,0
sh.110080,东湖转债,110080,2021-05-12,2023-12-06,4,0
sh.110081,闻泰转债,110081,2021-08-20,,4,1
sh.110082,宏发转债,110082,2021-11-23,2025-12-12,4,0
sh.110083,苏租转债,110083,2021-12-10,2024-10-18,4,0
sh.110084,贵燃转债,110084,2022-01-18,,4,1
sh.110085,通22转债,110085,2022-03-18,,4,1
sh.110086,精工转债,110086,2022-05-23,,4,1
sh.110087,天业转债,110087,2022-07-19,,4,1
sh.110088,淮22转债,110088,2022-10-20,2024-04-03,4,0
sh.110089,兴发转债,110089,2022-10-31,2026-03-04,4,0
sh.110090,爱迪转债,110090,2022-10-28,,4,1
sh.110091,合力转债,110091,2023-01-06,2024-07-04,4,0
sh.110092,三房转债,110092,2023-02-07,,4,1
