code,volunit,decimal_point,name,pre_close,market,sector,symbol,ipo_date,is_st,has_parquet,first_date,last_date,trading_days,avg_amount_20d
600000,100,2,浦发银行,584.0299997329712,SH,上海主板,600000.SH,1999-11-10,False,True,1999-11-10,2026-05-21,6308.0,852296448.0
600004,100,2,白云机场,264.039999961853,SH,上海主板,600004.SH,2003-04-28,False,True,2003-04-28,2026-05-21,5549.0,94206015.0
600006,100,2,东风股份,6.590000152587891,SH,上海主板,600006.SH,1999-07-27,False,True,1999-07-27,2026-05-21,6386.0,137999960.8
600007,100,2,中国国贸,20.280000686645508,SH,上海主板,600007.SH,1999-03-12,False,True,1999-03-12,2026-05-21,6536.0,59030904.0
600008,100,2,首创环保,4866.0025000572205,SH,上海主板,600008.SH,2000-04-27,False,True,2000-04-27,2026-05-21,6222.0,242510227.2
600009,100,2,上海机场,28.63999938964844,SH,上海主板,600009.SH,1998-02-18,False,True,1998-02-18,2026-05-21,6795.0,261045094.8
600010,100,2,包钢股份,2178.008749961853,SH,上海主板,600010.SH,2001-03-09,False,True,2001-03-09,2026-05-21,5994.0,2294530502.4
600011,100,2,华能国际,7.539999961853027,SH,上海主板,600011.SH,2001-12-06,False,True,2001-12-06,2026-05-21,5859.0,1163489212.8
600012,100,2,皖通高速,1960.0150003433228,SH,上海主板,600012.SH,2003-01-07,False,True,2003-01-07,2026-05-21,5606.0,64869907.4
600015,100,2,华夏银行,7.179999828338623,SH,上海主板,600015.SH,2003-09-12,False,True,2003-09-12,2026-05-21,5408.0,532798992.0
600016,100,2,民生银行,7490.001874923706,SH,上海主板,600016.SH,2000-12-19,False,True,2000-12-19,2026-05-21,6097.0,614166300.8
600017,100,2,日照港,4866.012500047684,SH,上海主板,600017.SH,2006-10-17,False,True,2006-10-17,2026-05-21,4721.0,89672338.0
600018,100,2,上港集团,5.110000133514404,SH,上海主板,600018.SH,2006-10-26,False,True,2000-07-19,2026-05-21,6126.0,242271756.4
