code,ROE,EP,SUE_proxy,FCF_yield,DY,PE_pct
600519.SH,36.02,0.04995004995004995,,,,11.91067
000858.SZ,23.0035,0.04539264639128461,,,,54.425145
601318.SH,13.008,0.16,,,,0.248139
600036.SH,14.0049,0.151285930408472,,,,46.732837
000333.SZ,21.0029,0.06684491978609625,,,,84.284533
002594.SZ,26.05,0.033068783068783074,,,,51.447477
600900.SH,15.0071,0.05227391531625719,,,,22.828784
601012.SH,-13.001,0.2,,,,38.709677
000001.SZ,10.08,0.19305019305019305,,,,57.237386
600276.SH,14.0073,0.025037556334501755,,,,3.970223
603259.SH,16.0078,0.04510599909788002,,,,53.432589
300750.SZ,24.0013,0.04875670404680643,,,,21.836228
600030.SH,8.09,0.09345794392523366,,,,0.248139
000651.SZ,25.0042,0.1251564455569462,,,,64.598842
601888.SH,7.0088,0.037439161362785474,,,,17.866005
