code,ym,close
600519.SH,202001,1052.8
600519.SH,202002,1057.0
600519.SH,202003,1111.0
600519.SH,202004,1265.7
600519.SH,202005,1366.6
600519.SH,202006,1462.88
600519.SH,202007,1678.18
600519.SH,202008,1786.5
600519.SH,202009,1668.5
600519.SH,202010,1670.02
600519.SH,202011,1713.91
600519.SH,202012,1998.0
600519.SH,202101,2116.18
600519.SH,202102,2122.78
600519.SH,202103,2009.0
600519.SH,202104,2006.78
600519.SH,202105,2218.0
600519.SH,202106,2056.7
600519.SH,202107,1678.99
600519.SH,202108,1558.0
600519.SH,202109,1830.0
600519.SH,202110,1826.08
600519.SH,202111,1930.77
600519.SH,202112,2050.0
600519.SH,202201,1887.0
600519.SH,202202,1790.4
600519.SH,202203,1719.0
600519.SH,202204,1828.38
600519.SH,202205,1804.03
600519.SH,202206,2045.0
600519.SH,202207,1898.44
600519.SH,202208,1924.0
600519.SH,202209,1872.5
600519.SH,202210,1350.0
600519.SH,202211,1599.0
600519.SH,202212,1727.0
600519.SH,202301,1845.76
600519.SH,202302,1813.74
600519.SH,202303,1820.0
600519.SH,202304,1760.52
600519.SH,202305,1628.9
600519.SH,202306,1691.0
600519.SH,202307,1880.58
600519.SH,202308,1847.0
600519.SH,202309,1798.55
600519.SH,202310,1684.58
600519.SH,202311,1791.5
600519.SH,202312,1726.0
600519.SH,202401,1604.91
600519.SH,202402,1695.0
600519.SH,202403,1702.9
600519.SH,202404,1705.0
600519.SH,202405,1648.45
600519.SH,202406,1467.39
600519.SH,202407,1421.28
600519.SH,202408,1443.19
600519.SH,202409,1748.0
600519.SH,202410,1527.79
600519.SH,202411,1525.74
600519.SH,202412,1524.0
600519.SH,202501,1434.99
600519.SH,202502,1500.79
600519.SH,202503,1561.0
600519.SH,202504,1547.0
600519.SH,202505,1522.0
600519.SH,202506,1409.52
600519.SH,202507,1421.67
600519.SH,202508,1480.0
600519.SH,202509,1443.99
600519.SH,202510,1430.01
600519.SH,202511,1450.5
600519.SH,202512,1377.18
